method,n_steps,h,error_at_T
Euler,40,0.25,82.35999957474849
RK4,40,0.25,0.006908031561122241
Euler,80,0.125,7.871230764472688
RK4,80,0.125,0.000526078380195083
Euler,160,0.0625,1.3201667732853362
RK4,160,0.0625,3.521396425781864e-05
Euler,320,0.03125,0.397385057139873
RK4,320,0.03125,2.2644739808286296e-06
Euler,640,0.015625,0.15772108883152985
RK4,640,0.015625,1.4336919612611965e-07
