method,n_steps,h,error_at_T
Euler,20,0.5,0.018125745232209667
RK4,20,0.5,3.5439071316645254e-05
Euler,40,0.25,0.009701928388160752
RK4,40,0.25,1.950693311769669e-06
Euler,80,0.125,0.004984273034290609
RK4,80,0.125,1.147283068547722e-07
Euler,160,0.0625,0.0025226654405514637
RK4,160,0.0625,6.960670262401436e-09
Euler,320,0.03125,0.001268644605906033
RK4,320,0.03125,4.2870418326401705e-10
